author_id;paper_id;primary_contact;seq;first_name;affiliation;country;url
19648;10191;1;1;Paula;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO
 - IFMA";BR;http://lattes.cnpq.br/9183512236206576
19655;10194;1;1;Ronnye;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA
 - IFBA";BR;\N
19654;10193;1;1;beatriz;UNIVERSIDADE DO ESTADO DO AMAZONAS  - UEA;BR;\N
12876;7141;0;1;Josias;\N;BR;\N
19635;10184;1;1;Geovani;"INSTITUTO FEDERAL DE EDUCAçãO, CIêNCIA E TECNOLOGIA DA BAHIA  - IFBA";BR;\N
19604;10169;0;1;Vanuza;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO
 - IFMA";BR;\N
19638;10163;0;1;Ana Cláudia;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DO AMAZONAS
 - IFAM";BR;http://www2.ifam.edu.br
19645;10178;0;1;Leci;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE
 - IFRN";BR;\N
19660;10198;0;1;Hiago;"UNIVERSIDADE DO ESTADO DO AMAZONAS
 - UEA";BR;\N
19664;10202;0;1;igor;"INSTITUTO FEDERAL DE EDUCAçãO, CIêNCIA E TECNOLOGIA DE RORAIMA  - IFRR";BR;\N
19649;10192;1;1;Edvania;Instituto Federal de Pernambuco - Campus Garanhuns;BR;\N
19640;10188;1;1;ELISABET;Universidade Federal do Acre - UFAC;\N;\N
19663;10201;1;1;Anderson;Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco campus Vitória de Santo Antão;BR;\N
19665;10203;1;1;Walerson;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ
 - IFCE";BR;\N
19697;10215;1;1;José;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ
 - IFCE
Campus Camocim";BR;\N
19672;10189;0;2;Laiane;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE
 - IFRN";BR;\N
19670;10141;0;4;Arlethe;SECRETARIA DE EDUCAÇÃO DO ESTADO DO TOCANTINS- SEDUC;BR;\N
19692;10200;0;4;Rogério;\N;BR;\N
19677;10208;1;1;Flavio;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO
 - IFPE";BR;\N
19679;10210;1;1;Maria;Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco - IFPE, Campus Pesqueira.;BR;\N
19700;10187;0;4;Kilma;\N;BR;\N
11685;6524;1;1;Jose;Instituto Federal de Educacao Ciencia e Tecnologia de Sergipe;BR;http://facebook.com/webteg
19686;10192;0;3;Thayná;Instituto Federal de Pernambuco - Campus Garanhuns;BR;\N
11778;6524;0;3;Paulo;\N;\N;\N
11779;6524;0;4;José;\N;\N;\N
19702;10217;1;1;Cleone;IFRN;BR;\N
19687;10192;0;4;Halda;Instituto Federal de Pernambuco - Campus Garanhuns;BR;\N
19671;10141;0;5;Maria Aparecida;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS
 - IFTO";BR;\N
19688;10192;0;5;Josefa;Instituto Federal de Pernambuco - Campus Garanhuns;BR;\N
19696;10191;0;2;Camila;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO
 - IFMA";BR;\N
19669;10141;0;3;Maíse;SECRETARIA DE EDUCAÇÃO DO ESTADO DO TOCANTINS- SEDUC;BR;\N
19673;10189;0;3;Ellen;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE
 - IFRN";BR;\N
19668;10141;0;2;Udinelquia;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS
 - IFTO";BR;\N
19706;10220;1;1;Danyelle;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ
 - IFPI";BR;\N
19707;10221;1;1;Elisângela;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAZONAS- IFAM;BR;\N
19716;10223;1;1;Samara;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA
 - IFPB";BR;\N
19715;10196;0;4;Tâmara;\N;\N;\N
19722;10185;0;2;Natércia;"UNIVERSIDADE ESTADUAL DO MARANHãO - UEMA";BR;\N
21578;11042;1;1;Alan;"UNIVERSIDADE ESTADUAL DO PIAUÍ
 - UESPI";\N;\N
19676;10207;1;1;Victória;"INSTITUTO FEDERAL DE EDUCAçãO, CIêNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE  - IFRN";BR;\N
19703;10206;1;1;Yasmin;IFRN;BR;\N
22358;11379;0;1;Hugo;\N;\N;\N
12879;7141;0;5;José Itamar;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ - IFCE;\N;\N
19729;10227;1;1;Eudemio;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO
 - IFMA, CAMPUS SÃO JOÃO DOS PATOS";BR;\N
19689;10214;1;1;Bruno;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO - IFPE;BR;http://www.ifpe.edu.br
11777;6524;0;1;José;IFS;\N;\N
19685;10192;0;1;Karen;Instituto Federal de Pernambuco - Campus Garanhuns;BR;\N
14315;7762;0;1;Rivania;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE
 - IFRN";BR;\N
19680;10211;0;1;Clara;"INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA
 - IFRO";BR;\N
19704;10218;0;1;Davison;"INSTITUTO FEDERAL DE EDUCAçãO, CIêNCIA E TECNOLOGIA DO PARá  - IFPA";BR;\N
19147;9953;1;1;Tiago;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ
 - IFAP";BR;\N
19732;10230;1;1;Mayara;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS
 - IFTO";BR;https://outlook.live.com/owa/?path=/mail/inbox
19744;10090;0;3;Celso;"<p>O Instituto Federal de Educação, Ciência e Tecnologia do Ceará- IFCE</p><p>(Campus,Limoeiro do Norte)</p>";\N;\N
19163;9953;0;3;Arhut;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ
 - IFAP";BR;\N
19164;9953;0;4;Nayelle;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ
 - IFAP";\N;\N
19730;10228;1;1;Lyandra;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS
 - IFTO";BR;\N
19745;10224;1;1;Petkovic;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA
 - IFBA
Campus Camaçari";BR;\N
19746;10224;0;2;Carolina;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA
 - IFBA
Campus Camaçari";BR;\N
19718;10225;1;1;Lueryson;"INSTITUTO FEDERAL DO PIAUÍ - IFPI
CAMPUS FLORIANO";BR;\N
19747;10224;0;3;Juliana;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA
 - IFBA
Campus Camaçari";BR;\N
19681;10212;1;1;Marcelo;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE
 - IFRN";BR;\N
19724;10212;0;2;Neltter;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE
 - IFRN";BR;\N
19713;10196;1;1;Ivan;\N;\N;\N
19725;10212;0;3;Lenina;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE
 - IFRN";BR;\N
19726;10212;0;4;Enne;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE
 - IFRN";BR;\N
19705;10219;1;1;Valiene;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE
 - IFRN";BR;\N
19409;10065;0;6;Bruna;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA
 - IFPB";BR;\N
19769;10243;1;1;Lidiane;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ
 - IFCE
Campus, Juazeiro do Norte";BR;\N
19780;10246;1;1;Bruno;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA
 - IFPB";BR;\N
19748;10224;0;4;Romilton;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA
 - IFBA
Campus Camaçari";BR;\N
19410;10065;1;8;Lázaro;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA
 - IFPB";BR;\N
19761;10230;0;2;Eliania;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS
 - IFTO";BR;\N
19734;10219;0;3;Karla;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE
 - IFRN";BR;\N
19766;10242;1;1;Lázaro;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA
 - IFPB";BR;\N
19751;10234;1;1;Elisângela;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAZONAS- IFAM;BR;\N
19764;10240;1;1;Renata Joaquina;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO
 - IFPE";BR;\N
19753;10236;1;1;Lidiane;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ
 - IFCE
Campus, Juazeiro do Norte";BR;\N
19773;10222;1;1;Thais;\N;\N;\N
23870;12165;1;1;Isali;"INSTITUTO FEDERAL DE EDUCAçãO, CIêNCIA E TECNOLOGIA  DO AMAZONAS  - IFAM";BR;https://mail.google.com/mail/u/0/#inbox
19757;10237;1;1;Giselle;Instituto Federal do Maranhão;BR;\N
19739;10231;1;1;Aécio;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO
 - IFMA";BR;\N
19723;10226;1;1;Mikaella Jordania da;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA
 - IFPB";BR;\N
19162;9953;0;1;Ana Karolina;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ
 - IFAP";BR;\N
19733;10219;0;1;Gerda;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE
 - IFRN";BR;http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4755923P4
19714;10196;0;1;Abel;\N;\N;\N
19767;10233;0;1;Iara;\N;\N;\N
19819;10259;1;1;Maria Rayanne;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ
 - IFCE";BR;\N
19774;10222;0;2;Breno;\N;\N;\N
19775;10222;0;3;Jorge;\N;\N;\N
19749;10232;1;1;Martha;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ
 - IFCE";BR;\N
19776;10222;0;4;Daniel;\N;\N;\N
19754;10223;0;2;Miguel;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA
 - IFPB";BR;\N
19779;10245;1;1;Bruno;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA
 - IFPB";BR;\N
19407;10065;0;2;Ana Paula;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA
 - IFPB";BR;\N
19408;10065;0;3;Brendo;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA
 - IFPB";BR;\N
19755;10223;0;3;Vinicius;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA
 - IFPB";BR;\N
19756;10223;0;4;Anderson;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA
 - IFPB";BR;\N
19777;10222;0;5;Thiago;\N;\N;\N
19765;10241;1;1;Lucelia;IFBA/ Camaçari;BR;\N
19778;10244;1;1;José;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ
 - IFCE
Campus Camocim";BR;\N
19781;10247;1;1;jucimar;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA, CAMPUS PRINCESA ISABEL;BR;\N
19805;10254;1;1;Neilson;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE
 - IFRN";BR;\N
19786;9798;0;2;Robervam;"INSTITUTO FEDERAL DE EDUCAçãO, CIêNCIA E TECNOLOGIA DE PERNAMBUCO - IFPE";BR;\N
19811;10257;1;1;Weder;FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS - UFT;BR;\N
19791;10252;1;1;Neilson;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE
 - IFRN";BR;\N
19796;10242;0;2;Ana Paula;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA
 - IFPB";BR;\N
19797;10242;0;3;Brendo;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA
 - IFPB";BR;\N
19798;10242;0;4;Bruna;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA
 - IFPB";BR;\N
19787;10248;1;1;Borges;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS
 - IFTO";BR;https://mail.google.com/mail/u/0/#sent/157691c200d6d828
19799;10242;0;5;Mellyne;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA
 - IFPB";BR;\N
19803;9798;0;3;Kerllane;"INSTITUTO FEDERAL DE EDUCAçãO, CIêNCIA E TECNOLOGIA DE PERNAMBUCO - IFPE";BR;\N
19820;10260;1;1;Charlon;IFRN - Instituto Federa de Educação, Ciência e Tecnologia do Rio Grande do Norte;BR;\N
19812;10258;1;1;Lucelia;IFBA/ Camaçari;BR;\N
19792;10243;0;2;Leticia;IFCE, campus Juazeiro do Norte;BR;\N
19790;10251;1;1;josinei;"INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA
 - IFRO";BR;http://connepi.ifal.edu.br/ocs/index.php/connepi/connepi2016/user/createAccount#formErrors
19806;10255;1;1;Alana;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE
 - IFRN";BR;\N
19824;10264;1;1;Paula;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS
 - IFTO";BR;\N
19817;10237;0;2;Genilson;Instituto Federal do Maranhão;BR;\N
19807;10256;1;2;Leonardo;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS
 - IFAL";BR;\N
19763;10239;0;1;Felipe;"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE
 - UFRN";BR;\N
19788;10249;1;1;Reinaldo Candidos dos Santos;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO
 - IFMA";BR;\N
19758;10238;0;1;Lueryson;"INSTITUTO FEDERAL DO PIAUÍ - IFPI
CAMPUS FLORIANO";BR;\N
19793;10243;0;3;Érikson;IFCE, campus Juazeiro do Norte;BR;\N
19794;10243;0;4;Lyndynne;IFCE, campus Juazeiro do Norte;BR;\N
19795;10243;0;5;Cieusa Maria;IFCE, campus Juazeiro do Norte;BR;\N
19856;10281;1;1;RAFAEL;"FUNDAçãO UNIVERSIDADE FEDERAL DO TOCANTINS  - UFT";BR;\N
12114;6729;1;1;Antonio;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO
 - IFPE";BR;\N
19831;10268;1;1;Divina Márcia;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS
 - IFTO";BR;https://mail.google.com/mail/u/0/#sent/157691c200d6d828
