"track_id","locale","setting_name","setting_value","setting_type"
"19","pt_BR","policy","<p>SUB-&Aacute;REAS</p><ul><li>MEIO AMBIENTE E AGR&Aacute;RIAS</li><li>SOCIAIS E HUMANIDADES</li><li>ENGENHARIA/TECNOLOGIA/GEST&Atilde;O</li><li>SA&Uacute;DE E BIOL&Oacute;GICAS</li><li>ENSINO DE CI&Ecirc;NCIAS E MATEM&Aacute;TICA</li><li>BIOTECNOLOGIA</li></ul>","string"
"19","pt_BR","identifyType","\N","string"
"20","pt_BR","title","Minicursos do CONNEPI 2010","string"
"20","pt_BR","abbrev","Minicursos","string"
"7","pt_BR","title","CIÊNCIAS BIOLÓGICAS I","string"
"7","pt_BR","abbrev","CB-I","string"
"7","pt_BR","policy","<p>SUB-&Aacute;REAS</p><ul><li>OCEANOGRAFIA</li><li>BIOLOGIA GERAL</li><li>GEN&Eacute;TICA</li><li>BOT&Acirc;NICA</li><li>ZOOLOGIA</li></ul>","string"
"7","pt_BR","identifyType","\N","string"
"60","pt_BR","policy","<object id=""ebbbbbaa-1b78-9fbb-187b-d8b329b692bb"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"60","pt_BR","identifyType","\N","string"
"63","pt_BR","title","LINGUÍSTICA, LETRAS E ARTES","string"
"63","pt_BR","abbrev","LLA","string"
"63","pt_BR","policy","<object id=""389bcbaa-5bc9-8194-3b8a-9a8728b0abaf"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"63","pt_BR","identifyType","\N","string"
"64","pt_BR","title","MEIO AMBIENTE","string"
"62","pt_BR","title","ENGENHARIAS","string"
"62","pt_BR","abbrev","ENG","string"
"62","pt_BR","policy","<object id=""5b48795a-2b69-89a5-1a6b-78b1f993b2ad"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"20","pt_BR","policy","<h1><span style=""font-weight: normal; font-size: 10px;""><strong>Temas</strong></span></h1> <p>Poder&atilde;o ser submetidos minicursos cobrindo os temas sugeridos na Chamada de Trabalhos do CONNEPI 2010. A lista n&atilde;o exaustiva de t&oacute;picos de interesse segue tamb&eacute;m as &aacute;reas tem&aacute;ticas definidas de acordo com a classifica&ccedil;&atilde;o da CAPES/CNPq.</p> <p><strong>Livro Texto</strong></p> <p>Os autores dos cursos selecionados dever&atilde;o produzir um cap&iacute;tulo para poss&iacute;vel publica&ccedil;&atilde;o no livro ""Minicursos do CONNEPI 2010"", livro este que ser&aacute; distribu&iacute;do entre os participantes dos minicursos. O cap&iacute;tulo dever&aacute; ser redigido em Portugu&ecirc;s e conter entre 10 a 20 p&aacute;ginas (seguindo o mesmo formato dos artigos cient&iacute;ficos).<strong></strong></p> <p><strong>Formato das Propostas</strong><br /> Professores e pesquisadores interessados em ministrar um minicurso devem submeter proposta de 2 a 4 p&aacute;ginas, contendo as informa&ccedil;&otilde;es enumeradas a seguir. O documento com a proposta e os CVs deve ser organizado em apenas um arquivo.<strong></strong></p> <ol><li><strong>1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </strong><strong>Dados de Identifica&ccedil;&atilde;o</strong></li></ol> <p>1.1.&nbsp;&nbsp;&nbsp; T&iacute;tulo do minicurso</p> <p>1.2.&nbsp;&nbsp;&nbsp; Autor(es): institui&ccedil;&atilde;o(&ccedil;&otilde;es), endere&ccedil;o(s), telefone(s), e-mail(s)</p> <p>1.3.&nbsp;&nbsp;&nbsp; Indica&ccedil;&atilde;o do autor que apresentar&aacute; o curso</p> <ol><li><strong>2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </strong><strong>Dados Gerais</strong></li></ol> <p>2.1.&nbsp;&nbsp;&nbsp; Objetivos do curso e tratamento dado ao tema (ex: te&oacute;rico ou pr&aacute;tico, apanhado geral de resultados ou aprofundamento de aspectos espec&iacute;ficos, apresenta&ccedil;&atilde;o ou compara&ccedil;&atilde;o de tecnologias, forma&ccedil;&atilde;o de novas habilidades ou informa&ccedil;&atilde;o, etc.)</p> <p>2.2.&nbsp;&nbsp;&nbsp; Perfil do p&uacute;blico alvo</p> <ol><li><strong>Estrutura prevista do texto</strong> (esbo&ccedil;o do curso, t&oacute;picos/cap&iacute;tulos cobertos)</li><li>Para cada t&oacute;pico/cap&iacute;tulo previsto no item 3, informar <strong>um resumo do conte&uacute;do a ser abordado</strong> e previs&atilde;o do n&uacute;mero de p&aacute;ginas</li><li><strong>Bibliografia principal</strong> utilizada na prepara&ccedil;&atilde;o do curso (m&aacute;ximo de 1 p&aacute;gina)</li><li><strong>Curriculum Vitae</strong> resumido dos autores (m&aacute;ximo de 1 p&aacute;gina por autor)</li></ol> <p><strong>Submiss&atilde;o das Propostas</strong></p> <p>A submiss&atilde;o de propostas ser&aacute; exclusivamente eletr&ocirc;nica, em um &uacute;nico arquivo no formato PDF. Para tal, autores devem usar o sistema OCS, dispon&iacute;vel em&nbsp;</p> <p><a href=""/ocs/index.php/connepi/CONNEPI2010/about/submissions#onlineSubmissions"">http://connepi.ifal.edu.br/ocs/index.php/connepi/CONNEPI2010/about/submissions#onlineSubmissions</a></p>","string"
"20","pt_BR","identifyType","\N","string"
"17","pt_BR","title","CIÊNCIAS SOCIAIS APLICADAS","string"
"17","pt_BR","abbrev","CSA","string"
"17","pt_BR","policy","<p>SUB-&Aacute;REAS:</p><ul><li>DIREITO</li><li>ADMINISTRA&Ccedil;&Atilde;O</li><li>TURISMO</li><li>ECONOMIA</li><li>ARQUITETURA E URBANISMO</li><li>PLANEJAMENTO URBANO E REGIONAL</li><li>DEMOGRAFIA</li><li>CI&Ecirc;NCIA DA INFORMA&Ccedil;&Atilde;O</li><li>MUSEOLOGIA</li><li>COMUNICA&Ccedil;&Atilde;O</li><li>SERVI&Ccedil;O SOCIAL</li><li>CI&Ecirc;NCIAS HUMANAS</li><li>FILOSOFIA</li><li>TEOLOGIA</li><li>SOCIOLOGIA</li><li>ANTROPOLOGIA</li><li>ARQUEOLOGIA</li><li>HIST&Oacute;RIA</li><li>GEOGRAFIA</li><li>PSICOLOGIA</li><li>EDUCA&Ccedil;&Atilde;O</li><li>CI&Ecirc;NCIA POL&Iacute;TICA</li></ul>","string"
"17","pt_BR","identifyType","\N","string"
"41","pt_BR","policy","\N","string"
"42","pt_BR","title","PIBIC","string"
"32","pt_BR","title","Ciências Exatas e da Terra","string"
"32","pt_BR","abbrev","CET","string"
